project,resource,role,identity,identity_type
project-1,bucket-1,roles/storage.objectViewer,user1@example.com,user
project-1,pubsub-topic-1,roles/pubsub.subscriber,service-account1@project-1.iam.gserviceaccount.com,serviceAccount
project-1,dataflow-job-1,roles/dataflow.worker,user2@example.com,user
project-2,cloud-function-1,roles/cloudfunctions.invoker,service-account2@project-2.iam.gserviceaccount.com,serviceAccount
project-2,bucket-2,roles/storage.objectAdmin,user3@example.com,user
project-2,eks-cluster-1,roles/container.admin,service-account3@project-2.iam.gserviceaccount.com,serviceAccount
project-3,dataflow-job-2,roles/dataflow.developer,user4@example.com,user
project-3,pubsub-topic-2,roles/pubsub.editor,user5@example.com,user
project-4,cloud-function-2,roles/cloudfunctions.developer,service-account4@project-4.iam.gserviceaccount.com,serviceAccount
project-4,eks-cluster-2,roles/container.viewer,user6@example.com,user
project-1,bucket-1,roles/storage.objectViewer,group-1@example.com,group
project-1,bucket-1,roles/storage.objectViewer,group-2@example.com,group
project-1,dataflow-job-1,roles/dataflow.worker,group-1@example.com,group
project-2,bucket-2,roles/storage.objectAdmin,group-1@example.com,group
project-3,dataflow-job-2,roles/dataflow.developer,group-1@example.com,group
project-3,pubsub-topic-2,roles/pubsub.editor,group-2@example.com,group
project-4,eks-cluster-2,roles/container.viewer,group-1@example.com,group
project-4,eks-cluster-2,roles/viewer,group-2@example.com,group
project-4,eks-cluster-2,roles/editor,group-2@example.com,group
project-1,dataflow-job-1,roles/dataflow.worker,group-3@example.com,group
project-2,bucket-2,roles/storage.objectAdmin,group-2@example.com,group
project-3,dataflow-job-2,roles/dataflow.developer,group-3@example.com,group
project-3,pubsub-topic-2,roles/pubsub.editor,group-3@example.com,group
project-4,eks-cluster-2,roles/container.viewer,group-3@example.com,group
project-4,eks-cluster-2,roles/viewer,group-3@example.com,group
project-4,eks-cluster-2,roles/editor,group-3@example.com,group
